sim_id,pity_threshold,player_type,tier,drop_rate,tier_revenue_contribution
64,0,Casual,Rare,0.15,22.781051125489572
64,0,Casual,Epic,0.04,39.56383311450037
64,0,Casual,Legendary,0.01,50.729415538184405
65,0,Whale,Common,0.5,0.11550575620636938
65,0,Whale,Rare,0.15,2.1998815804339586
65,0,Whale,Epic,0.04,6.766796485722499
65,0,Whale,Legendary,0.01,8.734122728460838
65,0,Casual,Common,0.5,0.8629012119412522
65,0,Casual,Rare,0.15,24.556898148839853
65,0,Casual,Epic,0.04,30.434752617820312
65,0,Casual,Legendary,0.01,47.261462569956144
66,0,Whale,Common,0.5,0.11665957486076212
66,0,Whale,Rare,0.15,1.2879940426582654
66,0,Whale,Epic,0.04,3.2632615748328764
66,0,Whale,Legendary,0.01,6.908355769093679
66,0,Casual,Common,0.5,1.3184275838215302
66,0,Casual,Rare,0.15,0.8262668265051474
66,0,Casual,Epic,0.04,16.929138430905734
66,0,Casual,Legendary,0.01,111.3933725561114
67,0,Whale,Common,0.5,0.1444457210826223
67,0,Whale,Rare,0.15,0.5412710135575628
67,0,Whale,Epic,0.04,10.474668081020424
67,0,Whale,Legendary,0.01,48.01872437427991
67,0,Casual,Common,0.5,2.490241226573262
67,0,Casual,Rare,0.15,3.086655909512049
67,0,Casual,Epic,0.04,3.3786740327719307
67,0,Casual,Legendary,0.01,15.43675633638107
67,0,F2P,Common,0.5,0.06019067906794479
67,0,F2P,Rare,0.15,0.1567639594271402
67,0,F2P,Epic,0.04,0.1269081517209683
67,0,F2P,Legendary,0.01,0.24645733740505404
68,0,Whale,Common,0.5,0.21521795814545147
68,0,Whale,Rare,0.15,1.8904566031417809
68,0,Whale,Epic,0.04,7.179863249063411
68,0,Whale,Legendary,0.01,8.36636169373742
68,0,Casual,Common,0.5,2.8666885432517177
68,0,Casual,Rare,0.15,0.5378588075007593
68,0,Casual,Epic,0.04,0.6239029603714981
68,0,Casual,Legendary,0.01,1.7025867462932436
69,0,Whale,Common,0.5,0.9216959948046064
69,0,Whale,Rare,0.15,0.11961183879212954
69,0,Whale,Epic,0.04,11.325630570772416
